,count,mean,std,min,10%,50%,90%,max,brier,type,scale,calibration_type,ATE,Balancing,ATE_error
0,10000.0,0.12267292106768173,0.08527066423727067,1.4986799901306469e-05,0.021714753142483927,0.10945674764844876,0.24228219162448744,0.545353673511374,0.24392894468677628,scaled_expit_0.125,0.125,,5.8986503801318015,0.37962528749832086,0.8986503801318015
0,10000.0,0.016680441227984105,0.010119263558810513,9.333199244676571e-06,0.004271425331789596,0.01630736398163843,0.027921307648517194,0.06363754471717556,0.22681967677681023,scaled_expit_0.125_calibrated,0.125,sigmoid_calib,4.450340424847596,0.34306872149087336,0.549659575152404
0,10000.0,0.10576298090842172,0.07242362378353424,3.336569295164793e-05,0.019100338360752263,0.09515700098746208,0.20725573036629488,0.4541605784368719,0.2388318822102136,scaled_expit_0.25,0.25,,5.634494073641215,0.3768768895680954,0.634494073641215
0,10000.0,0.016587057453958765,0.010203904730970657,1.0690299267035464e-05,0.004198516606761911,0.01606171109187593,0.027868368302167604,0.06432242064767345,0.22681948430937446,scaled_expit_0.25_calibrated,0.25,sigmoid_calib,4.45165763250606,0.34307161898499117,0.54834236749394
0,10000.0,0.0946456739370265,0.06406482241162888,1.6171655459196188e-08,0.017391840423538068,0.08566289801617613,0.1844958482570207,0.39533460754596,0.23597922055681078,scaled_expit_0.3333333333333333,0.3333333333333333,,5.47180922548204,0.37440341272897737,0.47180922548203963
0,10000.0,0.0164947217851249,0.01029417419747367,4.5597482312143e-07,0.004128213940495224,0.015815816211393247,0.027825281013115186,0.0649598229170524,0.22681968261759886,scaled_expit_0.3333333333333333_calibrated,0.3333333333333333,sigmoid_calib,4.4529969075974005,0.34307641936415245,0.5470030924025995
0,10000.0,0.0729328843981053,0.048070679995144985,7.489176763186833e-06,0.01392910581225959,0.06688616760952032,0.13987859056876872,0.2869094491162325,0.23154279486941295,scaled_expit_0.5,0.5,,5.1719787092711975,0.36807932878825406,0.17197870927119752
0,10000.0,0.016257253431450337,0.01056334861540231,9.306683131926619e-07,0.003951191550921851,0.01519049506804393,0.027765400968083265,0.06642143121642803,0.22682230096386985,scaled_expit_0.5_calibrated,0.5,sigmoid_calib,4.456694514647671,0.3430991419825254,0.5433054853523291
0,10000.0,0.04206402712423452,0.026425691411024396,1.4466812011670882e-06,0.008862284239174775,0.03947175945202444,0.07746512191123135,0.15367446893699427,0.22777016588216453,scaled_expit_0.75,0.75,,4.766159254393018,0.3558183010429422,0.2338407456069822
0,10000.0,0.015845948268117752,0.01119787985293345,2.3097088781565134e-06,0.003558576042436169,0.013885758810244203,0.029908525387361086,0.0681956659267044,0.2268375093922758,scaled_expit_0.75_calibrated,0.75,sigmoid_calib,4.4644806331609495,0.34318909662035735,0.5355193668390505
0,10000.0,0.013698066074423861,0.008374450863613587,5.008792180682953e-06,0.003754224554145697,0.013122014884315775,0.024801113709193672,0.054630452346619306,0.22683488292586312,scaled_expit_1,1,,4.383369769082252,0.3413622850335632,0.6166302309177478
0,10000.0,0.015472790983473757,0.012061782280785001,1.0344937555473166e-06,0.003015821529217983,0.012557041256616164,0.03210127616634211,0.06846279544945143,0.2268747082725493,scaled_expit_1_calibrated,1,sigmoid_calib,4.474518726412733,0.34337607070583304,0.5254812735872667
0,10000.0,0.012611381725868702,0.008622873713951552,4.705466972509953e-06,0.002804689021461021,0.012306345675774905,0.02361887614619768,0.05268228193886859,0.22800115795467082,scaled_expit_1.25,1.25,,3.989908179076222,0.3258745887986724,1.010091820923778
0,10000.0,0.015223301707184887,0.013040336088941725,1.127563297509404e-06,0.002442037373105644,0.011251322044808582,0.03435466624240784,0.0670192198972904,0.2269398524179565,scaled_expit_1.25_calibrated,1.25,sigmoid_calib,4.486384050561651,0.34367563447847654,0.513615949438349
0,10000.0,0.03564635067361522,0.02123454091146421,6.9545813767835085e-06,0.006442528501670353,0.036125746355017085,0.06346856383955184,0.09876387566198885,0.23062282383522875,scaled_expit_1.5,1.5,,3.5472444402440475,0.3102616883071384,1.4527555597559525
0,10000.0,0.015134441820607046,0.014006722178847332,5.189330887223065e-08,0.001795154894789547,0.010415090826999374,0.03650179567175364,0.06434960243511866,0.22703412739031714,scaled_expit_1.5_calibrated,1.5,sigmoid_calib,4.499665109554026,0.34408380286135465,0.5003348904459743
0,10000.0,0.05647948012846555,0.03177868608362682,3.274114088158697e-05,0.011113976100170755,0.058328760290271925,0.09849724911761672,0.13281986819962832,0.23419098441647884,scaled_expit_1.75,1.75,,3.0061666014520902,0.2951470425754384,1.9938333985479098
0,10000.0,0.015201306759725279,0.014848320529220764,6.545786241929363e-07,0.0010406606921759542,0.010224680618781234,0.038199495004724034,0.06104620949227785,0.2271549700401873,scaled_expit_1.75_calibrated,1.75,sigmoid_calib,4.513950733557598,0.3445837659338109,0.4860492664424019
