,count,mean,std,min,10%,50%,90%,max,brier,type,scale,calibration_type,ATE,Balancing,ATE_error
42_1,4802.0,0.06459630225563072,0.020480150161937775,3.1510344657648126e-05,0.03340501723831661,0.07415252786403426,0.07978725764458335,0.2645138889770857,0.2203341292352501,lr,lr_model,,2.7995533483676,0.08251280463418748,0.23844223719113433
42_1,4802.0,0.0626107441481433,0.018694527379058124,1.5593547434300525e-05,0.03397249949021127,0.0722766383814118,0.07679066850379886,0.21106075306727545,0.22017775440667245,lr_calibrated,lr_model,sigmoid_calib,2.7676331974863793,0.0793691804645191,0.20652208630991353
42_1,4802.0,0.06048740919312069,0.04267551134973202,0.00047969493499711024,0.004807801883632723,0.06217840345038239,0.1195318261611884,0.2031772638629032,0.21737882867286376,GBT_cv,GBT_cv_model,,2.8617993200689638,0.07077315805495299,0.30068820889249803
42_1,4802.0,0.0447301264043266,0.03367618140487122,0.00018063240938948066,0.0008123996910870401,0.051458164715537213,0.09310580836959192,0.12653833534045766,0.2163274887365413,GBT_cv_calibrated,GBT_cv_model,sigmoid_calib,2.822651111698218,0.06930451303990684,0.2615400005217521
42_1,4802.0,0.193466881127639,0.11261254332178622,5.0118311069047294e-06,0.05201803332897198,0.1883867393524415,0.3138891471576706,0.7265815421654696,0.21217670724141718,rf_cv,rf_cv_model,,2.9204449063202134,0.08131835358254702,0.35933379514374764
42_1,4802.0,0.08312459008290682,0.03316802879011719,6.2157039325549945e-06,0.03427848209094416,0.09843191244104782,0.11516789751762044,0.11575652461980768,0.18349016829382706,rf_cv_calibrated,rf_cv_model,sigmoid_calib,2.8028568145396218,0.07869619453940582,0.24174570336315604
42_1,4802.0,0.04601259452213473,0.024227193064203057,2.1733769579701523e-05,0.00994851297317314,0.04573282912299009,0.080619906994154,0.08900542636882103,0.2178644607029726,identity,identity_model,,2.517741741360147,0.07062446672264633,0.04336936981631867
42_1,4802.0,0.05168939894226425,0.02264039040374809,0.006454896286365974,0.019646455890735576,0.05147204402164013,0.08568594839448697,0.0895152052102064,0.21778896553021662,identity_calibrated,identity_model,sigmoid_calib,2.6949701808962083,0.0668713213558662,0.1338590697197426
42_2,4802.0,0.04061532041850689,0.023144899671918392,5.514637436931924e-05,0.013899303060976032,0.04345311236202862,0.056429178883401536,0.37016032537751103,0.22858263027529307,lr,lr_model,,3.674049163393029,0.12031286656793944,0.10825396676081755
42_2,4802.0,0.03753093788819822,0.020872719150524455,6.51191957601327e-06,0.010617257301765104,0.040635472412433926,0.05466412702810032,0.3032915766567994,0.22840452767741443,lr_calibrated,lr_model,sigmoid_calib,3.6478841933726365,0.11703350289736988,0.08208899674042502
