,count,mean,std,min,10%,50%,90%,max,brier,type,scale,calibration_type,ATE,Balancing
0,10000.0,0.14336945836390205,0.10096363333052923,2.084271290891948e-05,0.022031863401646822,0.12849485371508082,0.28635320446511187,0.5869563734784264,0.24106853016087942,scaled_expit_0.125,0.125,,6.671275811529132,0.36114388390413443
0,10000.0,0.017849369558449093,0.013044668366985422,2.012827537645201e-06,0.003958682994208063,0.016051351758237964,0.036186881916301886,0.06647220849362274,0.2172773727045062,scaled_expit_0.125_calibrated,0.125,sigmoid_calib,4.856538822724129,0.3124149562938758
0,10000.0,0.1224856904435818,0.08514186737980592,7.326418777375832e-06,0.019089957866320374,0.110933745125924,0.2429461651410699,0.48157781333599786,0.2336729182433138,scaled_expit_0.25,0.25,,6.340274895816186,0.35734376272971397
0,10000.0,0.017760395888845187,0.013214706357543503,5.911120379897827e-06,0.0039753204191631695,0.015677259815883887,0.03665798872852427,0.06729707043178174,0.21728452439232393,scaled_expit_0.25_calibrated,0.25,sigmoid_calib,4.861518271391337,0.3123951992175532
0,10000.0,0.10886326603074613,0.07497054749586787,5.874641011927029e-06,0.017011872563446898,0.0992813632317083,0.21466775824257414,0.4144438546806046,0.22960167677613708,scaled_expit_0.3333333333333333,0.3333333333333333,,6.140921488908369,0.3539005954028859
0,10000.0,0.017679294613417832,0.01339162585979862,1.3938521857270736e-06,0.004009600026962934,0.015315083947576497,0.036982674622993546,0.0680656912241444,0.21729275392098135,scaled_expit_0.3333333333333333_calibrated,0.3333333333333333,sigmoid_calib,4.866411683123428,0.312379392168795
0,10000.0,0.0826051400586079,0.05588548469026451,3.828421951679317e-06,0.012868176338547862,0.07668132747494522,0.16099554908776184,0.29376403225620784,0.22342104616419048,scaled_expit_0.5,0.5,,5.780912449621115,0.34514419884810943
0,10000.0,0.017499311998181152,0.013889323379913736,1.4992372039390744e-06,0.003586584429727269,0.014372101305506924,0.03799474285727019,0.069817288437693,0.21732033029876394,scaled_expit_0.5_calibrated,0.5,sigmoid_calib,4.879124808633693,0.3123577689952928
0,10000.0,0.046414179781841924,0.030906671989362002,5.40200976123506e-06,0.007770444403464794,0.043552626811807854,0.08962286580904286,0.15284547018658284,0.21841870151765252,scaled_expit_0.75,0.75,,5.301078812536667,0.3286085499442795
0,10000.0,0.01731297622095486,0.014920064225135466,9.257228398062978e-06,0.0027610195496033164,0.012764049937469935,0.04013175617115869,0.07191447446553127,0.21739961635658914,scaled_expit_0.75_calibrated,0.75,sigmoid_calib,4.90280759236191,0.3124102358892151
0,10000.0,0.015358838384186859,0.009904396352710787,4.0913126309050085e-06,0.004698623752293358,0.012596461575011403,0.029368246012669675,0.05415188694061365,0.21732113141566306,scaled_expit_1,1,,4.83811003947099,0.30999388673420597
0,10000.0,0.01740163778302391,0.016075367396294202,1.3909879002460546e-05,0.00179529257047375,0.011524542919776753,0.04258354244368627,0.07230133688621959,0.21753636143197347,scaled_expit_1_calibrated,1,sigmoid_calib,4.929008692301932,0.3126393550799392
0,10000.0,0.015405703526824441,0.005810062288652652,1.656443135544805e-06,0.006440251983219992,0.017654345506730368,0.02116576320863463,0.024764404591891775,0.21885349965173123,scaled_expit_1.25,1.25,,4.324195986013832,0.29108094403258455
0,10000.0,0.017860969994633255,0.017090570885144978,2.3453892650238117e-07,0.0008143944548010929,0.011196045306778424,0.044846155027155436,0.07090706349840856,0.21773394817299954,scaled_expit_1.25_calibrated,1.25,sigmoid_calib,4.956014467364144,0.31307726845868883
0,10000.0,0.039885152231852045,0.017445983641460418,2.065811558482622e-07,0.01313480776116347,0.04277960787136059,0.06067081780502834,0.07048257760738896,0.2220286690369566,scaled_expit_1.5,1.5,,3.670740431339522,0.27300373979718795
0,10000.0,0.01882356876237234,0.01758648112161479,5.553649709555408e-07,0.00128389843160992,0.01173140589055452,0.04668092983909256,0.06830920948305505,0.21798575227405104,scaled_expit_1.5_calibrated,1.5,sigmoid_calib,4.983085239448323,0.3137054724091782
0,10000.0,0.06129981379164422,0.027352252742921305,7.7231313043713e-06,0.019253551014811864,0.06565167238775418,0.09445933594109332,0.10494691381486998,0.22615341411836148,scaled_expit_1.75,1.75,,2.746152650581959,0.2563606658510458
0,10000.0,0.02000767735771059,0.017742352066176907,8.173788323961872e-08,0.002014237801913943,0.0130874752947229,0.048003253642459894,0.06525466659040305,0.21827965427089271,scaled_expit_1.75_calibrated,1.75,sigmoid_calib,5.009815273324274,0.31447923812280404
0,10000.0,0.08001134924107174,0.03529624422226748,5.0753295444350144e-05,0.02511418770146496,0.0862201844218713,0.12223976553803782,0.13160784795000702,0.23076609366911652,scaled_expit_2,2,,1.340475657348248,0.24138793011934995
0,10000.0,0.021224278726356446,0.01783329052371807,4.8010351694216524e-08,0.002390160227450855,0.014999644559959058,0.04896040968114517,0.06237961953416721,0.21860223108081417,scaled_expit_2_calibrated,2,sigmoid_calib,5.035902554989303,0.31534864278545394
0,10000.0,0.1335630352892631,0.05389356208393298,1.8867035326053383e-05,0.04627735369159713,0.14892216697128377,0.19066434042016506,0.1958232354736864,0.24959737538406734,scaled_expit_3,3,,-20.842290282960636,0.1972114139395498
0,10000.0,0.026094323068987468,0.01826790588557594,8.00179672061363e-06,0.0031997259727892914,0.02577044741113499,0.050564480628956666,0.0552943003252534,0.21996773861928046,scaled_expit_3_calibrated,3,sigmoid_calib,5.1298937082631,0.31904444475036237
